674292,707534,674665,707907
668401,773033,668847,773479
686823,720710,687091,720978
628344,701332,628551,701539
642357,702569,642605,702817
614410,738500,614635,738725
615209,739449,615501,739741
637930,717000,638391,717461
648395,772246,648875,772726
638362,731321,638807,731766
616920,766280,617289,766649
621632,740872,621965,741205
690370,701860,690745,702235
601692,745330,602090,745728
668890,753514,669229,753853
606286,699965,606756,700435
658586,737976,658973,738363
665946,755912,666182,756148
646124,731186,646399,731461
657637,715263,658108,715734
671489,712244,671742,712497
642253,748975,642748,749470
667488,741227,667835,741574
667234,715102,667455,715323
669718,783099,670203,783584
669651,743216,669866,743431
650412,715480,650675,715743
684719,712809,684991,713081
673723,762044,674219,762540
631459,778269,631689,778499
668773,770359,669166,770752
658313,742946,658566,743199
686237,744878,686456,745097
687770,772520,687991,772741
651814,736804,652071,737061
615341,744097,615649,744405
641662,705036,641897,705271
613002,750857,613363,751218
614586,753712,614886,754012
607456,772712,607909,773165
611839,744762,612167,745090
622533,734047,622810,734324
601135,764455,601534,764854
610704,765920,611035,766251
636032,710726,636322,711016
654298,708561,654678,708941
609361,723885,609756,724280
657633,743461,658062,743890
688207,782359,688542,782694
601891,764769,602209,765087
644549,706576,644839,706866
629327,718802,629531,719006
677115,751949,677375,752209
672052,725045,672294,725287
637864,776695,638135,776966
612451,766300,612710,766559
688978,722947,689382,723351
654868,764090,655332,764554
679369,708546,679661,708838
658657,723423,658985,723751
687205,744684,687439,744918
640617,739031,641059,739473
645303,721647,645790,722134
667044,734850,667458,735264
680424,746225,680742,746543
686842,769084,687082,769324
611542,785685,611812,785955
624669,755759,624925,756015
654831,732418,655165,732752
639761,786985,640018,787242
628383,772820,628730,773167
685791,721169,686018,721396
617740,782167,618159,782586
682437,778495,682670,778728
606523,777902,606765,778144
601178,750210,601614,750646
648934,699411,649282,699759
655428,782326,655647,782545
650675,750536,651144,751005
690154,779378,690616,779840
640448,772686,640772,773010
672808,761335,673028,761555
611181,706664,611573,707056
621922,777779,622254,778111
633910,717065,634306,717461
687979,724846,688428,725295
